step, reward
3971,-2635.0075494582197
8099,-1647.197850552389
13272,-1999.8571211264666
18653,-1220.8508132975878
23587,-1936.0284066089848
28639,-1935.6013221770213
33523,-1923.8227522036252
38145,-1921.1648843369453
43127,-2205.92578377515
49498,-1846.0273061821558
54976,-1324.2184548270247
60241,-1881.510227177535
65946,-1773.9135462683716
72580,-2221.7227897517623
79145,-2270.3643852962136
85623,-1635.5920055196148
92281,-1821.9779120532494
98305,-801.8068213800863
105680,-1080.7060881628463
113680,-999.9016388339813
121680,-971.8463706072185
129680,-1510.7092346181425
137176,-1573.191680444276
144721,-2344.8167931706594
151925,-1789.785879803105
158927,-1391.9731620036985
165140,-1314.6298876237065
172986,-1054.3614635123092
180857,-736.5950759407806
188857,-1068.755507464307
196186,-1025.7510981828443
203974,-1051.9741759637554
211129,-1257.251114158093
219033,-1135.7562475729192
227033,-1804.5089949724534
235033,-1140.7930200949309
243010,-1259.4090226370174
251010,-2357.691036634269
258553,-2582.221776158009
265967,-1613.5013659189053
273500,-1831.6540113532337
281036,-1141.3482546868954
288436,-953.4000684449857
295030,-1069.5776819149164
301786,-487.8461208890707
309387,-874.2234893654231
316425,-505.15270390295916
324425,-873.8475613092328
332335,-786.3948429695229
339530,-816.3885086884043
347081,-548.8305973256647
354294,-681.4936740602193
361972,-680.5754270043673
369415,-603.372468374786
376919,-1079.0360411745246
383648,-856.4052245470647
391078,-772.2679303297148
397980,-993.7497386208848
405980,-716.6869594285567
412578,-873.8491560386478
420069,-1019.2571229991023
427196,-418.6108054166401
435075,-372.6706231870089
442512,-391.8099253805178
450313,-872.5250710965204
458313,-764.1828386397038
465154,-709.0584611812269
472988,-455.2462972129022
480419,-516.3350692647599
488116,-575.3227503710742
495762,-601.0465207570787
503743,-564.7973438869058
511052,-933.9118610791692
518487,-1022.2061591522404
525823,-891.7222344564275
533456,-764.4523714622487
540402,-897.5083666811161
547737,-642.4391571411055
555405,-733.4081840626709
563305,-876.1417638726364
570981,-805.7656749426268
578593,-457.0104529804215
586593,-742.0752202928645
594593,-680.7851100170108
602183,-685.0214871999622
610183,-472.2616129632222
618183,-449.9868510119153
626142,-507.030057952179
633646,-931.0798168934093
641646,-790.0330328334514
649125,-280.70283795378015
657125,-633.7430755343064
665050,-490.5333682789451
672446,-735.751123145877
680320,-489.58762552972814
688317,-589.8772645676279
695895,-697.5678231699097
703895,-557.7940517518772
711808,-579.3694573871477
719650,-520.0971594708116
727416,-312.0030919788629
734997,-489.83329772462804
742624,-883.2922203947512
750473,-609.6919699459279
758473,-563.1484214118553
765797,-565.2195321978909
773491,-346.22986910284476
781397,-683.2571299550707
789057,-526.8414821081153
796219,-359.7346936144377
803554,-265.6350700997376
811554,-221.95195082306512
818940,-109.70749164325369
826940,-200.16970971811702
834826,-184.1225714101751
842705,-188.99659424339723
850705,-72.83825628222348
858705,-220.76012179321776
866264,-143.07622152012993
874194,-139.22506004286848
881839,-99.02113902651396
889718,-261.35293638480897
897006,-229.63376571832762
905006,-137.8760648913325
912859,-156.94030637878484
920859,-110.02578285522512
928239,-106.16090788728305
936149,-79.34509452397964
944149,-242.63117202825748
951973,-94.27048300259706
959864,-127.68485063018375
967077,-238.34561708276658
975077,-639.2463712115414
983077,-560.2197244802645
990900,-536.174635703064
998900,-325.35039867004787
1006900,-559.7299477040546
1014900,-339.3843447751925
1022383,-706.4627717403084
1030383,-213.79857249263577
1038327,-297.80875416920503
1045628,-264.7002694363796
1053577,-171.75119455102993
1061577,-304.80658621647075
1069577,-160.861977944136
1077577,-153.0177080053174
1085577,-311.6478478402257
1093577,-325.31476023026323
1101577,-84.59192283637779
1109577,-139.08180200565826
1117577,-65.92071177246788
1125577,-51.73040034796239
1133577,-81.5312917270427
1141577,-87.54502870555555
1149577,-79.70486069309831
1157577,-66.1706289880654
1165070,-80.54041721363272
1172481,-188.59384968618977
1180481,-85.61248640944294
1187888,-281.14788343850125
1195885,-221.29114177304942
1203885,-376.0094590677203
